Location,Start,0.1,0.2,0.3,0.4,1,1.1,1.2,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.1,3,3.1,3.2,3.3,4,4.1,4.2,4.3,4.4,4.5,5,5.1,6,6.1,6.2,7,7.1,7.2,7.3,7.4,8,8.1,8.2,9,9.1,9.2,9.3,10,10.1,10.2,10.3,11,11.1,11.2,11.3,12,12.1,12.2,12.3,13,13.1,13.2,13.3,13.4,13.5,14,14.1
Time,13:10,13:13,13:16,13:17,13:19,13:23,13:26,13:28,13:30,13:33,13:35,13:38,13:40,13:41,13:43,13:45,13:47,13:49,13:51,13:53,13:54,13:57,13:59,14:01,14:05,14:06,14:08,14:10,14:13,14:15,14:16,14:18,14:21,14:23,14:25,14:28,14:30,14:33,14:35,14:37,14:39,14:42,14:45,14:48,14:50,14:52,14:56,15:02,15:04,15:07,15:09,15:12,15:16,15:18,15:21,15:23,15:27,15:29,15:30,15:32,15:34,15:38,15:42,15:44,15:45,15:48
CO2 ppm,389,407,399,397,409,388,387,408,404,393,392,399,393,381,395,387,392,388,386,410,401,400,397,390,413,408,399,396,402,403,397,415,400,412,405,398,394,391,399,409,397,384,385,402,399,390,408,421,398,410,406,403,409,398,401,394,398,402,428,399,397,420,390,400,393,396
Temperature C,9,9,11,10,10,10,11,11,9,8,8,8,9,10,9,10,10,9,9,9,8,9,9,9,8,8,8,8,8,8,8,8,8,8,7,8,8,8,9,8,10,13,12,12,12,10,8,8,8,8,8,8,8,8,7,8,7,7,7,8,7,7,7,7,7,7
Humidity %,49,52,47,47,48,48,49,46,50,52,52,54,52,51,50,50,51,50,50,52,52,52,49,50,52,51,52,52,51,52,53,54,54,53,54,53,52,53,51,53,52,44,42,45,42,45,50,55,55,54,54,55,56,55,53,53,52,53,53,53,52,52,52,53,54,54
Type of environment,"Public Area (square, public buildings)","Public Area (square, public buildings)","Public Area (square, public buildings)","Public Area (square, public buildings)","Public Area (square, public buildings)","Public Area (square, public buildings)","Public Area (square, public buildings)","Public Area (square, public buildings)",Residential area (houses),Residential area (houses),Residential area (houses),University Area (university buildings),Residential area (houses),University Area (university buildings),University Area (university buildings),University Area (university buildings),Residential area (houses),"Public Area (square, public buildings)","Public Area (square, public buildings)","Commercial Area (shops, hotels)",Residential area (houses),"Public Area (square, public buildings)","Commercial Area (shops, hotels)","Public Area (square, public buildings)",Residential area (houses),Residential area (houses),"Green Area (gardens, park)",University Area (university buildings),University Area (university buildings),Residential area (houses),Residential area (houses),"Public Area (square, public buildings)","Work Area (offices, artisans, and industry activities)",University Area (university buildings),"Work Area (offices, artisans, and industry activities)","Public Area (square, public buildings)","Public Area (square, public buildings)",University Area (university buildings),Residential area (houses),"Public Area (square, public buildings)","Commercial Area (shops, hotels)",University Area (university buildings),University Area (university buildings),"Public Area (square, public buildings)","Public Area (square, public buildings)","Commercial Area (shops, hotels)","Public Area (square, public buildings)","Commercial Area (shops, hotels)",University Area (university buildings),"Commercial Area (shops, hotels)","Commercial Area (shops, hotels)","Commercial Area (shops, hotels)","Commercial Area (shops, hotels)","Commercial Area (shops, hotels)","Commercial Area (shops, hotels)",Residential area (houses),University Area (university buildings),University Area (university buildings),"Commercial Area (shops, hotels)","Public Area (square, public buildings)",Residential area (houses),"Commercial Area (shops, hotels)",Residential area (houses),Residential area (houses),"Public Area (square, public buildings)","Public Area (square, public buildings)"
Main landmark/s,Stazione,Regione Veneto Palace,Canal,Calatrava bridge,Bus Station,Car garage,Toilets,Canal,Rio Terà dei Pensieri,Fondamenta Rizzi,Corte S. Marco,Ponte Rosso,Fondamenta Rossa,Fondamenta Foscarini,Ponte del Socorso,Ponte de la Madalena,Calle dei Vechi,San Trovaso,Campazzo S. Sebastian,Campo Anzolo Rafael,Fondamenta Barbarigo,Fondamenta Rielo,Fondamenta Tron,S. Nicolo Mendicoli,Ponte delle Terese,Fondamenta de la Rugheta,Campo de Sechi,Teatro S. Marta,Calle dei Sechi,Calle Larga Magazen,Calle Longhi,Parcheggio S. Marta,Old S. Marta Church,Deposito S. Marta,Banchina S. Marta,Port Area S. Marta,Port Area S. Marta,Porto di Venezia,Salita S. Basegio,Terminal S. Basilio,S. Basilio,Fondamenta Zattere,Zattere,S. Maria del Rosario,Campo S. Agnese,Calle Larga Pisani,Ponte Accademia,Galerie Barteux,Ponte Maravegie,Sacca della Toletta,Campo S. Barnaba,Ponte dei Pugni,Rio Terà Canale,Campo S. Margherita,Campo S. Margherita,Calle de la Vida,Calle Foscari,Calle Larga Foscari,Dorsoduro,Sotoportego de la Scuola,Calle Drio l'Archivio,Calle de le Chiovere,S. Croce,Calle Sechera,Fondamenta S. Simeon Piccolo,Ponte degli Scalzi
Connection with water,high connection,high connection,very high connection,very high connection,No connection,No connection,low connection,high connection,high connection,average connection,high connection,high connection,high connection,very high connection,high connection,very high connection,high connection,high connection,No connection,low connection,high connection,high connection,high connection,very high connection,very high connection,high connection,No connection,No connection,No connection,No connection,No connection,average connection,low connection,low connection,high connection,very high connection,very high connection,high connection,low connection,very high connection,very high connection,very high connection,very high connection,very high connection,low connection,No connection,very high connection,low connection,high connection,No connection,average connection,high connection,No connection,No connection,No connection,No connection,high connection,No connection,low connection,average connection,No connection,low connection,average connection,No connection,high connection,very high connection
Wind,high,high,high,high,medium,medium,low,medium,high,low,low,medium,low,medium,medium,medium,high,low,medium,low,high,high,medium,medium,low,medium,high,medium,high,medium,high,high,low,high,high,high,high,medium,high,high,high,high,medium,high,medium,high,high,low,medium,medium,medium,high,high,medium,medium,low,high,high,medium,low,medium,high,medium,high,high,medium
Air smell - quality,average,bad,average,average,bad,bad,average,bad,good,good,good,good,average,bad,average,average,good,average,good,good,average,average,good,good,good,good,good,good,good,good,average,bad,average,good,average,average,average,average,good,average,average,average,average,average,good,average,average,average,average,good,good,average,average,average,bad,good,good,average,good,good,good,good,good,average,average,average
Environmental noise,medium,high,medium,medium,high,medium,medium,high,low,medium,low,medium,low,low,low,medium,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,medium,medium,high,medium,medium,high,high,medium,medium,high,medium,high,high,high,high,medium,medium,medium,medium,high,high,low,medium,medium,medium,medium,low,medium,low,medium,medium,high
"Vehicular traffic (cars, boats)",A lot of traffic,A lot of traffic,Average traffic,Average traffic,A lot of traffic,Average traffic,Average traffic,Average traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,Average traffic,No/Limited traffic,Average traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,Average traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,Average traffic,Average traffic,No/Limited traffic,No/Limited traffic,Average traffic,A lot of traffic,Average traffic,No/Limited traffic,A lot of traffic,No/Limited traffic,No/Limited traffic,A lot of traffic,No/Limited traffic,Average traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,No/Limited traffic,Average traffic,Average traffic
Quantity of people,A lot of people,Average,Average,A lot of people,Average,No/Limited number of people,Average,Average,Average,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,No/Limited number of people,Average,Average,No/Limited number of people,No/Limited number of people,Average,Average,Average,Average,A lot of people,Average,Average,A lot of people,A lot of people,Average,Average,Average,Average,Average,A lot of people,A lot of people,No/Limited number of people,Average,Average,Average,No/Limited number of people,No/Limited number of people,Average,No/Limited number of people,No/Limited number of people,Average,A lot of people
